ticker,instrument,name,sector,currency,created_date,last_updated_date
COST,stock,Costco,Consumer Staples Merchandise Retail,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CTRA,stock,Coterra,Oil & Gas Exploration & Production,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CRWD,stock,CrowdStrike,Systems Software,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CCI,stock,Crown Castle,Telecom Tower REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CSX,stock,CSX,Rail Transportation,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CMI,stock,Cummins,Construction Machinery & Heavy Transportation Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
CVS,stock,CVS Health,Health Care Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DHR,stock,Danaher Corporation,Life Sciences Tools & Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DRI,stock,Darden Restaurants,Restaurants,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DVA,stock,DaVita Inc.,Health Care Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DAY,stock,Dayforce,Human Resource & Employment Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DECK,stock,Deckers Brands,Footwear,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DE,stock,John Deere,Agricultural & Farm Machinery,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DAL,stock,Delta Air Lines,Passenger Airlines,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DVN,stock,Devon Energy,Oil & Gas Exploration & Production,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DXCM,stock,Dexcom,Health Care Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FANG,stock,Diamondback Energy,Oil & Gas Exploration & Production,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DLR,stock,Digital Realty,Data Center REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DFS,stock,Discover Financial,Consumer Finance,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DG,stock,Dollar General,Consumer Staples Merchandise Retail,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DLTR,stock,Dollar Tree,Consumer Staples Merchandise Retail,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
D,stock,Dominion Energy,Multi-Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DPZ,stock,Domino's,Restaurants,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DOV,stock,Dover Corporation,Industrial Machinery & Supplies & Components,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DOW,stock,Dow Inc.,Commodity Chemicals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DHI,stock,DR Horton,Homebuilding,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DTE,stock,DTE Energy,Multi-Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DUK,stock,Duke Energy,Electric Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
DD,stock,DuPont,Specialty Chemicals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EMN,stock,Eastman Chemical Company,Specialty Chemicals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ETN,stock,Eaton Corporation,Electrical Components & Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EBAY,stock,eBay,Broadline Retail,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ECL,stock,Ecolab,Specialty Chemicals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EIX,stock,Edison International,Electric Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EW,stock,Edwards Lifesciences,Health Care Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EA,stock,Electronic Arts,Interactive Home Entertainment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ELV,stock,Elevance Health,Managed Health Care,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
LLY,stock,Eli Lilly and Company,Pharmaceuticals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EMR,stock,Emerson Electric,Electrical Components & Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ENPH,stock,Enphase,Semiconductor Materials & Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ETR,stock,Entergy,Electric Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EOG,stock,EOG Resources,Oil & Gas Exploration & Production,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EPAM,stock,EPAM Systems,IT Consulting & Other Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EQT,stock,EQT Corporation,Oil & Gas Exploration & Production,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EFX,stock,Equifax,Research & Consulting Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EQIX,stock,Equinix,Data Center REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EQR,stock,Equity Residential,Multi-Family Residential REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ESS,stock,Essex Property Trust,Multi-Family Residential REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EL,stock,Estée Lauder Companies (The),Personal Care Products,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ETSY,stock,Etsy,Broadline Retail,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EG,stock,Everest Re,Reinsurance,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EVRG,stock,Evergy,Electric Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ES,stock,Eversource,Electric Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EXC,stock,Exelon,Electric Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EXPE,stock,Expedia Group,"Hotels, Resorts & Cruise Lines",USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EXPD,stock,Expeditors International,Air Freight & Logistics,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
EXR,stock,Extra Space Storage,Self-Storage REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
XOM,stock,ExxonMobil,Integrated Oil & Gas,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FFIV,stock,"F5, Inc.",Communications Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FDS,stock,FactSet,Financial Exchanges & Data,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FICO,stock,Fair Isaac,Application Software,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FAST,stock,Fastenal,Trading Companies & Distributors,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FRT,stock,Federal Realty,Retail REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FDX,stock,FedEx,Air Freight & Logistics,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FIS,stock,Fidelity National Information Services,Transaction & Payment Processing Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FITB,stock,Fifth Third Bank,Diversified Banks,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FSLR,stock,First Solar,Semiconductors,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
FE,stock,FirstEnergy,Electric Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
